college_name,stream,year_of_study,ai_tools_used,daily_usage_hours,use_cases,trust_in_ai_tools,do_professors_allow_use,preferred_ai_tool,awareness_level,willing_to_pay_for_access,state,device_used,internet_access,impact_on_grades_binary
"Aizawl Theological College-[ATC], Aizawl ",Arts,3,ChatGPT,1.8,"MCQ Practice, Projects",1,No,Copilot,1,Yes,Mizoram,Mobile,Poor,0
Heritage Institute of Hotel and Tourism ,Hotel-management,1,ChatGPT,0.9,Content Writing,5,Yes,Gemini,7,No,Uttar pradesh,Mobile,Medium,1
Sri Padmavati Mahila Visvavidyalayam ,Law,1,Other,2.5,"Resume Writing, Content Writing, Doubt Solving",1,No,Bard,7,Yes,Andhra pradesh,Laptop,Medium,0
Lady Hardinge Medical College ,Medical,4,Gemini,1.5,"Assignments, Coding Help",5,No,Copilot,3,No,Delhi ncr,Laptop,Medium,1
GEMS B School ,Hotel-management,4,ChatGPT,2.9,"Doubt Solving, Resume Writing",2,No,ChatGPT,6,No,Karnataka,Laptop,Medium,1
"Lalit Chandra Bharali College, Guwahati ",Management,2,ChatGPT,2.7,"Assignments, Coding Help",3,Yes,ChatGPT,6,Yes,Assam,Tablet,Poor,1
"Union Christian College, Shillong ",Commerce,3,Copilot,4.9,"Resume Writing, Assignments, Coding Help",5,Yes,Claude,6,No,Meghalaya,Mobile,Medium,1
"Chameli Devi Group of Institution, Indore ",Pharmacy,1,Other,3.8,"Coding Help, Doubt Solving",2,No,Bard,2,Yes,Madhya pradesh,Tablet,Poor,1
Central India Institute of Management Studies ,Hotel-management,3,"Gemini, Midjourney",3.8,"Assignments, Coding Help",5,No,Copilot,2,No,Madhya pradesh,Tablet,Poor,1
Kasturba Medical College ,Medical,1,"ChatGPT, Copilot",2.7,"Doubt Solving, Resume Writing",3,No,Other,3,Yes,Karnataka,Tablet,Medium,1
P.S.G College of Technology ,Engineering,1,Claude,1.4,Project Work,4,No,ChatGPT,6,No,Tamil nadu,Tablet,Medium,1
The Neotia University ,Agriculture,1,Gemini,1.8,"Assignments, Coding Help",4,No,ChatGPT,2,Yes,West bengal,Tablet,High,1
National Institute of Food Technology Entrepreneurship and ,Engineering,3,"Gemini, Midjourney",0.7,"MCQ Practice, Projects",5,No,Copilot,1,Yes,Haryana,Mobile,Medium,0
"Doying Gumin College, Pasighat ",Arts,3,Copilot,4.1,"Coding Help, Assignments, Project Work",2,Yes,Copilot,3,Yes,Arunachal pradesh,Laptop,Poor,1
College of Veterinary and Animal Sciences ,Agriculture,2,Gemini,3.8,Learning new topics,3,No,Other,6,Yes,Rajasthan,Tablet,High,1
Swosti Institute of Management and Social Studies ,Hotel-management,1,"ChatGPT, Copilot",2.6,"Doubt Solving, Resume Writing",1,Yes,Copilot,7,No,Orissa,Mobile,Poor,0
RNB Global University ,Agriculture,1,Copilot,4.0,Learning new topics,5,No,ChatGPT,9,Yes,Rajasthan,Tablet,Medium,1
"Swami Vivekanand University, Sagar ",Hotel-management,3,Gemini,4.0,"Exam Prep, Notes",3,No,Other,2,Yes,Madhya pradesh,Tablet,Medium,0
Guru Nanak Dev Engineering College ,Engineering,3,Gemini,2.6,"Coding Help, Project Work, Resume Writing",5,Yes,Bard,3,No,Punjab,Laptop,Medium,0
Pt. Ravishankar Shukla University ,Law,2,Copilot,1.9,"Doubt Solving, Resume Writing",4,No,ChatGPT,10,No,Chhattisgarh,Laptop,Poor,0
Patna Women's College ,Arts,3,Bard,1.7,Assignments,2,No,Gemini,6,Yes,Bihar,Laptop,Medium,1
Graphic Era University ,Management,1,Claude,3.4,"MCQ Practice, Assignments, Content Writing",5,No,Copilot,2,No,Uttarakhand,Laptop,Medium,1
"Jagran School of Law, Dehradun ",Law,1,Gemini,1.8,"Doubt Solving, Resume Writing",4,No,ChatGPT,5,Yes,Uttarakhand,Tablet,High,1
Belagavi Institute of Medical Sciences ,Medical,1,Claude,0.7,"MCQ Practice, Learning new topics, Content Writing",3,No,Bard,8,Yes,Karnataka,Tablet,High,0
"Maharaja Ranjit Singh Punjab Technical University, Bathinda ",Agriculture,2,Copilot,2.9,"Exam Prep, Notes",3,Yes,Gemini,1,Yes,Punjab,Laptop,Poor,0
"Sarah Institute of Paramedical Sciences, Itanagar ",Medical,1,Gemini,4.3,"Project Work, Resume Writing",5,Yes,Gemini,7,Yes,Arunachal pradesh,Tablet,Medium,1
SunRise University ,Pharmacy,1,ChatGPT,1.0,"Exam Prep, Notes",4,No,ChatGPT,8,Yes,Rajasthan,Tablet,Medium,1
A.V. College of Arts Science and Commerce ,Arts,3,Gemini,3.1,"Doubt Solving, Learning new topics",4,No,Claude,7,No,Telangana,Laptop,Poor,1
Chaudhary Charan Singh University ,Law,1,Claude,4.5,Content Writing,1,Yes,Bard,9,Yes,Delhi ncr,Laptop,High,1
Assam Science and Technology University ,Engineering,4,Bard,2.5,"Assignments, MCQ Practice, Doubt Solving",2,Yes,ChatGPT,10,Yes,Assam,Mobile,High,0
Birla Institute of Technology and Science ,Engineering,1,ChatGPT,1.1,"Exam Preparation, Doubt Solving",2,Yes,Copilot,10,No,Rajasthan,Mobile,Medium,1
"Government Homoeopathic Medical College, Calicut ",Medical,2,ChatGPT,2.1,"Doubt Solving, Resume Writing",1,Yes,Copilot,1,No,Kerala,Mobile,Poor,1
Jawaharlal Nehru University ,Arts,1,ChatGPT,4.4,"Exam Prep, Notes",2,No,ChatGPT,9,No,Delhi ncr,Laptop,High,1
O. P. Jindal Global University ,Law,4,Gemini,1.4,Content Writing,2,No,Gemini,5,Yes,Haryana,Mobile,Poor,1
"Bir Tikendrajit University, Imphal ",Management,3,"Gemini, Midjourney",2.4,"Assignments, Coding Help",3,No,Gemini,4,Yes,Manipur,Tablet,Poor,1
Royal Global University ,Science,3,Bard,2.6,"Content Writing, Resume Writing",3,Yes,Bard,7,Yes,Assam,Tablet,High,1
Raghu Engineering College ,Engineering,2,"ChatGPT, Copilot",1.3,Content Writing,3,No,Other,8,Yes,Andhra pradesh,Tablet,Medium,1
Bharathiar University ,Medical,3,Copilot,1.6,Doubt Solving,1,No,Gemini,3,No,Tamil nadu,Mobile,High,0
Bhargava Degree College ,Science,3,ChatGPT,4.1,"Doubt Solving, Resume Writing",4,Yes,Other,3,Yes,Jammu,Laptop,Medium,0
"EMEA College of Arts and Science Kondotty, ",Law,3,"ChatGPT, Copilot",4.3,"Exam Prep, Notes",4,No,Copilot,3,Yes,Kerala,Laptop,Poor,0
St. Xavier's University ,Commerce,2,ChatGPT,4.6,"Project Work, Resume Writing",2,No,Bard,9,Yes,West bengal,Mobile,Medium,0
Jawaharlal Nehru Rajkeeya Mahavidyalaya ,Agriculture,1,Bard,3.1,"MCQ Practice, Assignments, Content Writing",3,No,Other,3,No,Andaman,Laptop,High,1
Baba Balak Nath Post Graduate College ,Science,3,Copilot,1.3,"Doubt Solving, Resume Writing",5,Yes,Other,10,Yes,Himachal pradesh,Tablet,Medium,1
Kalinga Institute of Industrial Technology ,Management,4,"ChatGPT, Copilot",2.4,"Assignments, Coding Help",1,Yes,ChatGPT,1,No,Orissa,Laptop,Medium,1
Pandit Deendayal Petroleum University [PDPU] / (Energy ,Arts,3,"Gemini, Midjourney",1.9,"MCQ Practice, Projects",5,Yes,Gemini,3,Yes,Gujarat,Mobile,Poor,0
Narsee Monjee Institute of Management Studies ,Medical,2,ChatGPT,2.9,"Exam Prep, Notes",5,No,Copilot,3,Yes,Maharashtra,Laptop,Poor,0
Ramchandra Chandravansi University ,Arts,2,"ChatGPT, Gemini, Copilot",1.3,"Doubt Solving, Resume Writing",3,Yes,Gemini,4,No,Jharkhand,Tablet,High,0
Rajiv Gandhi Government Polytechnic ,Hotel-management,1,Claude,0.6,"Exam Preparation, Project Work, Resume Writing",4,No,ChatGPT,1,No,Arunachal pradesh,Mobile,Medium,0
K L University ,Arts,2,ChatGPT,2.7,"Exam Prep, Notes",4,No,Copilot,10,Yes,Andhra pradesh,Laptop,High,1
Government Law College ,Law,4,Other,2.0,Content Writing,4,Yes,Other,2,No,Kerala,Tablet,Medium,0
"Sharda University, School of Business Studies ",Commerce,4,Gemini,2.0,"Doubt Solving, Resume Writing",3,No,Other,8,No,Uttar pradesh,Mobile,Poor,1
Shaheed Rajguru College of Applied Sciences for ,Science,1,"ChatGPT, Copilot",4.0,"Exam Prep, Notes",5,No,ChatGPT,4,No,Delhi ncr,Tablet,Poor,0
"SRM Engineering College, Kanchipuram ",Engineering,3,Copilot,4.2,MCQ Practice,4,Yes,Gemini,8,No,Tamil nadu,Laptop,Poor,1
International Institute of Hotel Management ,Hotel-management,2,Claude,4.8,Resume Writing,5,No,ChatGPT,9,No,Gujarat,Tablet,Poor,0
National Institute of Technology ,Arts,1,"Gemini, Midjourney",3.9,"Assignments, Coding Help",5,Yes,Copilot,7,Yes,Manipur,Mobile,High,1
Chandigarh University ,Agriculture,2,Claude,3.6,Content Writing,1,No,Bard,10,Yes,Punjab,Tablet,High,1
Narendra Deva University of Agriculture and Technology ,Agriculture,4,Copilot,3.2,"Coding Help, Project Work, Doubt Solving",3,Yes,ChatGPT,5,No,Uttar pradesh,Laptop,Poor,1
Swami Vivekanand College of Computer Science ,Science,3,Gemini,2.3,"Assignments, Coding Help",3,Yes,Other,4,No,Gujarat,Laptop,High,1
"IPS Group of Colleges, Gwalior ",Pharmacy,3,"ChatGPT, Copilot",0.5,"Exam Prep, Notes",1,No,Gemini,4,Yes,Madhya pradesh,Tablet,Poor,0
"Nagaland University, Zunhebotto ",Engineering,3,Claude,1.3,Doubt Solving,3,No,ChatGPT,2,Yes,Nagaland,Tablet,High,1
Suresh Gyan Vihar University ,Engineering,1,Gemini,1.3,"Doubt Solving, Resume Writing",1,No,Other,3,Yes,Rajasthan,Laptop,Poor,1
"PDM University, Bahadurgarh, Bahadurgarh ",Medical,4,"Gemini, Midjourney",2.2,Learning new topics,5,Yes,ChatGPT,6,Yes,Haryana,Mobile,Poor,1
"Christ University, Bangalore ",Engineering,4,Other,1.0,Coding Help,5,Yes,Copilot,9,No,Karnataka,Laptop,High,0
National Institute of Technology ,Science,4,Copilot,1.7,Content Writing,5,No,Copilot,2,No,Karnataka,Laptop,Medium,1
"Rawal Institutions, Faridabad ",Hotel-management,3,Other,1.6,Doubt Solving,1,Yes,Gemini,10,No,Haryana,Laptop,Medium,1
Indian Institute of Information Technology ,Engineering,1,Copilot,1.2,"Assignments, Coding Help",2,No,Copilot,3,No,Gujarat,Laptop,High,0
Raipur Institute of Technology ,Engineering,4,"ChatGPT, Copilot",2.3,"Doubt Solving, Resume Writing",3,No,Copilot,3,Yes,Chhattisgarh,Laptop,High,0
National Institute of Fashion Technology ,Management,2,"ChatGPT, Gemini, Copilot",3.8,"MCQ Practice, Projects",5,No,Copilot,4,No,Meghalaya,Laptop,High,0
Himgiri Zee University ,Management,1,"ChatGPT, Gemini, Copilot",3.4,"MCQ Practice, Projects",3,No,Other,4,No,Uttarakhand,Mobile,Medium,0
Modern College of Arts Science and Commerce ,Arts,3,Copilot,0.9,"MCQ Practice, Projects",5,Yes,Other,2,No,Maharashtra,Laptop,High,0
PVKN Govt Degree College ,Science,3,ChatGPT,4.9,"Project Work, Content Writing, Assignments",5,Yes,Bard,8,Yes,Andhra pradesh,Mobile,Poor,1
"Arka Jain University, Jamshedpur ",Law,1,Copilot,1.8,"MCQ Practice, Projects",5,No,ChatGPT,7,Yes,Jharkhand,Mobile,Poor,0
Ranijta Institute of Hotel Management and Catering ,Hotel-management,4,ChatGPT,2.0,"MCQ Practice, Assignments, Learning new topics",2,No,ChatGPT,5,Yes,Orissa,Tablet,High,0
"Maryland Institute of Technology And Management, Jamshedpur ",Engineering,3,"ChatGPT, Copilot",2.7,"MCQ Practice, Projects",1,Yes,ChatGPT,1,Yes,Jharkhand,Laptop,High,1
Sacred Heart College ,Commerce,3,Gemini,4.1,Coding Help,5,Yes,Claude,10,No,Kerala,Mobile,Poor,0
Rungta College of Pharmaceutical Sciences and Research ,Pharmacy,2,Gemini,3.8,"Assignments, Coding Help",4,Yes,Copilot,10,No,Chhattisgarh,Tablet,High,0
St Francis De Sales College ,Arts,1,"ChatGPT, Copilot",3.7,Learning new topics,4,Yes,Gemini,7,Yes,Maharashtra,Tablet,High,0
Bangalore Medical College and Research Institute ,Science,3,"ChatGPT, Copilot",0.8,"Assignments, Coding Help",1,Yes,ChatGPT,8,Yes,Karnataka,Mobile,Poor,0
Institute of Technology and Future Management Trends ,Management,4,Other,1.1,Content Writing,5,No,Gemini,3,No,Chandigarh,Tablet,Poor,1
"Guru Nanak Dev University Regional Campus, Gurdaspur ",Law,1,Copilot,2.1,"Learning new topics, Project Work, Doubt Solving",1,Yes,ChatGPT,3,Yes,Punjab,Laptop,High,0
K L University ,Science,3,ChatGPT,1.4,"Assignments, Coding Help",2,No,Copilot,1,No,Andhra pradesh,Tablet,High,1
Indian Institute of Technology ,Arts,4,Bard,0.5,Assignments,3,Yes,Bard,10,Yes,Andhra pradesh,Mobile,High,0
"Loyola College, Chennai ",Commerce,4,Copilot,2.0,"Exam Prep, Notes",3,Yes,Copilot,8,No,Tamil nadu,Tablet,Medium,0
"Department of Management Studies, Indian Institute of ",Management,3,Gemini,4.7,"Assignments, MCQ Practice",1,No,Claude,9,Yes,Uttarakhand,Tablet,Medium,0
"Bimala Prasad Chaliha College, Kamrup ",Science,4,Gemini,4.5,Assignments,5,No,Other,3,Yes,Assam,Mobile,Poor,1
Shri Vaishnav Institute of Management ,Science,2,"ChatGPT, Copilot",2.3,"Assignments, Coding Help",4,Yes,ChatGPT,1,No,Madhya pradesh,Tablet,Poor,0
"Netaji Subhash College, Raipur ",Medical,3,"ChatGPT, Gemini, Copilot",1.4,"MCQ Practice, Projects",4,No,Gemini,3,Yes,Chhattisgarh,Tablet,High,1
"Hindu College, New Delhi ",Commerce,4,"ChatGPT, Gemini, Copilot",4.0,"Exam Prep, Notes",3,Yes,ChatGPT,2,No,Delhi ncr,Tablet,Poor,1
Chandigarh Institute of Hotel Management and Catering ,Hotel-management,2,"ChatGPT, Copilot",2.0,Learning new topics,3,No,ChatGPT,9,No,Chandigarh,Mobile,Medium,1
Madhav University ,Agriculture,3,Bard,2.3,Coding Help,5,No,Copilot,2,Yes,Rajasthan,Laptop,Poor,0
IIEBM Indus Business School ,Management,4,Other,1.8,"Exam Preparation, Doubt Solving, Content Writing",3,Yes,Gemini,3,No,Maharashtra,Tablet,Poor,1
Christian College of Engineering and Technology ,Engineering,2,Copilot,2.7,"MCQ Practice, Projects",4,Yes,Other,8,No,Chhattisgarh,Laptop,Medium,0
Sri Venkateswara University ,Commerce,1,ChatGPT,4.2,Resume Writing,2,No,Other,2,Yes,Andhra pradesh,Mobile,High,1
National Law Institute University ,Science,3,Other,1.8,Doubt Solving,3,No,Copilot,7,Yes,Madhya pradesh,Laptop,High,0
Dantuluri Narayana Raju college ,Agriculture,4,Gemini,0.9,Learning new topics,2,Yes,ChatGPT,10,Yes,Andhra pradesh,Laptop,Medium,1
"P.P. Savani University, Surat ",Medical,2,"Gemini, Midjourney",3.3,"MCQ Practice, Projects",1,Yes,Gemini,7,No,Gujarat,Mobile,High,1
Sarosh Institute of Hotel Administration ,Hotel-management,1,ChatGPT,4.2,"Content Writing, Resume Writing, Assignments",1,No,Bard,5,No,Karnataka,Laptop,High,1
"Rayat Bahra University, Mohali ",Agriculture,2,Copilot,0.5,Content Writing,1,No,Copilot,10,No,Punjab,Tablet,High,1
"Durgapur Institute of Legal Studies, Bardhaman ",Law,3,Copilot,1.4,Content Writing,1,Yes,ChatGPT,9,No,West bengal,Laptop,Medium,1
Marwadi University ,Agriculture,1,ChatGPT,3.5,"MCQ Practice, Doubt Solving",1,No,Claude,2,Yes,Gujarat,Laptop,Poor,1
"Sushant University / Ansal University, Gurgaon ",Management,2,Gemini,2.9,"Coding Help, Content Writing",4,Yes,Gemini,2,No,Haryana,Mobile,Medium,0
Army Institute of Nursing ,Medical,1,Other,2.6,"MCQ Practice, Exam Preparation, Project Work",3,No,Other,8,No,Assam,Tablet,High,0
"Cluster University of Jammu, Jammu ",Commerce,1,Claude,0.6,"Exam Preparation, Project Work, Assignments",1,No,Claude,3,Yes,Jammu,Tablet,Medium,0
Vidyavardhaka Law College ,Law,4,ChatGPT,3.3,"Content Writing, Doubt Solving",5,Yes,Copilot,10,No,Karnataka,Laptop,Medium,0
Rajagiri Business School ,Management,3,"ChatGPT, Gemini, Copilot",1.2,Learning new topics,2,No,Copilot,5,Yes,Kerala,Mobile,Medium,0
"Dhenkanal Autonomous College, Dhenkanal ",Commerce,2,"ChatGPT, Gemini, Copilot",1.4,"Exam Prep, Notes",2,No,ChatGPT,4,No,Orissa,Laptop,Poor,1
Government Polytechnic ,Engineering,4,Copilot,1.6,"Assignments, Coding Help",3,No,Gemini,1,Yes,Goa,Laptop,Medium,0
"Anand Niketan College of Agriculture, Chandrapur ",Agriculture,3,Gemini,4.0,Content Writing,2,Yes,Gemini,10,Yes,Maharashtra,Mobile,High,0
Institute of Agri Business Management ,Agriculture,2,Gemini,3.0,Learning new topics,3,No,Claude,9,Yes,Rajasthan,Tablet,Medium,0
CMR Engineering College ,Engineering,4,"ChatGPT, Copilot",4.2,"Exam Prep, Notes",3,Yes,Gemini,1,No,Telangana,Mobile,Poor,1
"Khalsa College, Amritsar ",Arts,1,"ChatGPT, Gemini, Copilot",0.9,Content Writing,4,No,ChatGPT,6,Yes,Punjab,Mobile,Medium,0
Institute of Advanced Studies in Education ,Engineering,2,ChatGPT,2.3,"MCQ Practice, Project Work",1,Yes,Gemini,8,No,Rajasthan,Mobile,Medium,0
Jawahar Lal Nehru Medical College ,Medical,1,"ChatGPT, Copilot",0.8,Learning new topics,5,Yes,Copilot,6,No,Uttar pradesh,Tablet,Medium,0
Indian Institute of Management ,Management,1,"ChatGPT, Copilot",0.6,"MCQ Practice, Projects",5,Yes,Copilot,9,No,Rajasthan,Laptop,Medium,1
"Mahatma Gandhi Memorial Medical College, Jamshedpur ",Medical,1,Claude,4.6,MCQ Practice,3,No,Copilot,3,Yes,Jharkhand,Tablet,High,1
Annamalai University ,Agriculture,2,"ChatGPT, Copilot",1.4,"Exam Prep, Notes",3,No,Other,1,Yes,Tamil nadu,Laptop,Poor,1
"Govt Zirtiri Residential Science College, Aizawl ",Science,2,"ChatGPT, Copilot",3.2,"Doubt Solving, Resume Writing",2,Yes,ChatGPT,3,Yes,Mizoram,Mobile,High,1
Mahatma Jyoti Rao Phoole University ,Law,4,"ChatGPT, Copilot",2.7,Learning new topics,5,Yes,Other,6,Yes,Rajasthan,Mobile,High,1
"St. Xavier's College, Bardez ",Science,4,Claude,1.8,"Content Writing, MCQ Practice",1,No,Gemini,7,No,Goa,Laptop,High,1
Jaypee University of Information Technology ,Engineering,4,Bard,3.8,Doubt Solving,2,No,Gemini,4,No,Himachal pradesh,Tablet,Poor,1
"KK Wagh College of Agriculture, Nashik ",Agriculture,4,Other,1.8,"Resume Writing, Learning new topics",4,Yes,Copilot,4,Yes,Maharashtra,Laptop,Poor,0
BV Patel Pharmaceutical Education and Research Development ,Pharmacy,4,ChatGPT,4.9,"Resume Writing, Doubt Solving, Learning new topics",4,Yes,Copilot,9,No,Gujarat,Mobile,Medium,1
Acharya NG Ranga Agricultural University ,Science,2,Copilot,3.5,Content Writing,5,No,ChatGPT,4,No,Andhra pradesh,Tablet,Poor,0
B.K Birla College Of Arts Science & ,Commerce,2,Bard,3.6,Assignments,3,No,Other,3,Yes,Maharashtra,Mobile,High,0
Bangalore Medical College and Research Institute ,Medical,4,Gemini,2.6,"Exam Preparation, Content Writing",1,Yes,Other,9,Yes,Karnataka,Mobile,High,0
"The Modern College, Imphal ",Science,1,Gemini,2.8,"Assignments, Coding Help",5,Yes,Other,1,No,Manipur,Laptop,Poor,0
Indian Institute of Information Technology ,Engineering,2,"ChatGPT, Gemini, Copilot",2.8,"Exam Prep, Notes",3,Yes,Gemini,1,No,Himachal pradesh,Laptop,High,1
P.K. University ,Pharmacy,3,"ChatGPT, Copilot",3.6,"Doubt Solving, Resume Writing",5,No,Copilot,7,Yes,Madhya pradesh,Mobile,Medium,1
Agricultural College and Research Institute ,Agriculture,1,Copilot,4.4,Doubt Solving,2,Yes,Other,2,Yes,Tamil nadu,Tablet,Medium,0
"Artex Informatic Solutions, Chandigarh ",Arts,3,"ChatGPT, Gemini, Copilot",3.3,Content Writing,5,No,ChatGPT,7,Yes,Chandigarh,Mobile,Medium,0
"Assam University, Silchar ",Law,3,Gemini,2.8,"Doubt Solving, Resume Writing",1,Yes,Copilot,6,Yes,Assam,Laptop,High,0
"SCMS Cochin School of Business, Cochin ",Management,4,ChatGPT,2.1,Content Writing,4,No,ChatGPT,5,No,Kerala,Mobile,High,1
"SRM University Delhi NCR, Sonepat ",Hotel-management,4,Gemini,2.8,"Doubt Solving, Resume Writing",1,No,Copilot,6,Yes,Haryana,Mobile,High,1
Nimra College of Pharmacy ,Pharmacy,4,Copilot,1.9,"Doubt Solving, Resume Writing",2,Yes,Copilot,2,Yes,Andhra pradesh,Tablet,Medium,1
Alwar School of Business ,Medical,3,Gemini,2.9,"Exam Prep, Notes",1,Yes,Other,8,No,Andhra pradesh,Tablet,High,0
Anugrah Narayan Singh College ,Arts,4,"ChatGPT, Copilot",3.3,Content Writing,1,No,Other,4,No,Bihar,Mobile,Poor,1
"R.B.D. Mahila Mahavidyalaya, Bijnor ",Commerce,2,"Gemini, Midjourney",2.7,"Doubt Solving, Resume Writing",3,Yes,ChatGPT,5,Yes,Uttar pradesh,Laptop,High,0
"Bikali College, Goalpara ",Management,2,"Gemini, Midjourney",2.7,"Doubt Solving, Resume Writing",1,Yes,Gemini,5,No,Assam,Laptop,High,1
Delhi Pharmaceutical Sciences and Research University ,Medical,4,"ChatGPT, Gemini, Copilot",2.7,Content Writing,5,Yes,ChatGPT,10,Yes,Delhi ncr,Mobile,Medium,1
Netaji Subhas University ,Science,1,ChatGPT,1.7,Coding Help,4,Yes,Gemini,5,No,Jharkhand,Tablet,High,0
"Sri Manakula Vinayagar Polytechnic College-[SMVPC], Pondicherry ",Engineering,2,Copilot,4.0,"MCQ Practice, Projects",5,Yes,ChatGPT,9,Yes,Puducherry,Tablet,Poor,1
State Institute of Hotel Management Catering Technology ,Hotel-management,3,"ChatGPT, Copilot",2.5,"Exam Prep, Notes",3,Yes,Copilot,9,No,Himachal pradesh,Laptop,Medium,0
"ICFAI University, West Tripura ",Law,4,"ChatGPT, Copilot",1.3,"Assignments, Coding Help",3,Yes,Gemini,10,No,Tripura,Tablet,Poor,1
"Amity University, Kolkata ",Law,1,"Gemini, Midjourney",3.2,Learning new topics,1,No,Other,6,No,West bengal,Laptop,Poor,1
Chouksey Engineering College ,Management,1,Claude,4.4,Exam Preparation,2,Yes,Other,4,No,Chhattisgarh,Tablet,Medium,0
Shri Shankaracharya Institute of Professional Management and ,Science,4,Bard,1.8,"Doubt Solving, Project Work, MCQ Practice",4,Yes,Copilot,2,Yes,Chhattisgarh,Mobile,Medium,0
Acharya Narendra Dev College ,Commerce,4,ChatGPT,3.3,"MCQ Practice, Projects",4,Yes,Copilot,8,No,Delhi ncr,Mobile,Medium,1
Anand Arts College ,Arts,1,ChatGPT,0.5,"Exam Preparation, Learning new topics",3,Yes,ChatGPT,3,Yes,Gujarat,Laptop,High,0
"Shree Damodar College of Commerce and Economics, Salcete ",Commerce,3,"ChatGPT, Gemini, Copilot",4.4,"Doubt Solving, Resume Writing",1,No,Gemini,2,No,Goa,Laptop,Medium,1
Indus Institute of Hotel Management ,Hotel-management,3,"ChatGPT, Copilot",2.3,Learning new topics,5,No,Other,10,Yes,Andhra pradesh,Tablet,Poor,1
International Institute of Information Technology ,Arts,4,"ChatGPT, Copilot",1.4,Learning new topics,5,No,Gemini,10,Yes,Chhattisgarh,Laptop,Poor,1
"Indian Institute of Information Technology [IIIT], Kottayam ",Engineering,4,"ChatGPT, Gemini, Copilot",4.0,"Exam Prep, Notes",2,Yes,Copilot,7,Yes,Kerala,Mobile,Poor,1
"Rungta Group of Institutions Bhilai Campus, Bhilai ",Arts,2,Copilot,3.1,"MCQ Practice, Assignments",1,No,Other,10,Yes,Chhattisgarh,Laptop,High,1
Sardar Patel University ,Pharmacy,2,Claude,4.9,"Learning new topics, Resume Writing",5,Yes,ChatGPT,7,No,Madhya pradesh,Tablet,Medium,1
"PG Government College for Girls, Chandigarh ",Management,4,Gemini,0.8,"Content Writing, Project Work",3,Yes,Copilot,5,Yes,Chandigarh,Tablet,Medium,1
"Parvatibai Chowgule College of Arts and Science, Salcete ",Arts,4,Claude,0.9,"Doubt Solving, MCQ Practice, Project Work",2,Yes,Gemini,9,No,Goa,Tablet,Poor,1
Maharashtra Institute of Medical Education and Research ,Medical,4,"Gemini, Midjourney",1.6,"Exam Prep, Notes",4,Yes,ChatGPT,3,Yes,Maharashtra,Laptop,Medium,1
"Institute of Law, Nirma University ",Law,1,Copilot,2.0,Learning new topics,2,No,Other,5,No,Gujarat,Mobile,Poor,0
"Pragjyotish College, Guwahati ",Science,2,Copilot,4.3,"Doubt Solving, Resume Writing",1,Yes,Other,6,No,Assam,Mobile,Medium,0
IEC University Baddi ,Law,4,Other,3.2,Coding Help,2,Yes,Claude,4,Yes,Himachal pradesh,Laptop,Poor,1
"Indus University, Ahmedabad ",Management,3,"Gemini, Midjourney",3.9,"Exam Prep, Notes",1,No,ChatGPT,2,No,Gujarat,Tablet,High,1
Modern Vidya Niketan ,Agriculture,4,Copilot,0.9,Doubt Solving,2,Yes,ChatGPT,6,No,Delhi ncr,Mobile,High,0
"NSHM Knowledge Campus, Kolkata ",Science,1,Other,2.7,MCQ Practice,2,No,ChatGPT,7,No,West bengal,Laptop,High,1
"Sambalpur University, Sambalpur ",Law,1,"Gemini, Midjourney",1.4,Content Writing,5,No,Other,6,No,Orissa,Tablet,High,0
Chaudhary Sarwan Kumar Himachal Pradesh Krishi Vishvavidyalaya ,Science,1,ChatGPT,4.2,"Project Work, Coding Help",1,Yes,Copilot,2,No,Himachal pradesh,Tablet,Medium,0
Ram Krishna Dwarika College ,Science,4,Copilot,1.0,"Doubt Solving, Resume Writing",2,Yes,Other,8,No,Bihar,Laptop,Poor,0
National Institute of Technology ,Engineering,2,Other,4.4,Resume Writing,3,No,Claude,3,No,Chhattisgarh,Tablet,Poor,0
"Rungta Group of Institutions Raipur Campus, Raipur ",Commerce,2,Copilot,4.7,Exam Preparation,3,Yes,Claude,7,Yes,Chhattisgarh,Tablet,High,1
Dharma Apparao College ,Commerce,2,ChatGPT,0.8,"Project Work, Learning new topics",3,Yes,Gemini,8,No,Andhra pradesh,Tablet,Medium,1
Bhargava Degree College ,Arts,1,Copilot,3.8,"Coding Help, Resume Writing, MCQ Practice",4,Yes,ChatGPT,2,Yes,Jammu,Laptop,Medium,1
Dharmsinh Desai University ,Engineering,3,Copilot,1.1,"MCQ Practice, Projects",5,Yes,ChatGPT,5,No,Gujarat,Tablet,Poor,0
"Govind Ramnath Kare College of Law, South Goa ",Law,1,ChatGPT,1.1,"Coding Help, Resume Writing",1,Yes,Copilot,4,Yes,Goa,Mobile,Medium,1
Shivalik Institute of Paramedical Technology ,Management,3,ChatGPT,2.5,Learning new topics,2,No,ChatGPT,5,No,Chandigarh,Laptop,Medium,0
"St Teresa's College (Autonomous), Ernakulam ",Medical,4,Gemini,4.8,"Coding Help, Doubt Solving, Resume Writing",2,No,Copilot,8,Yes,Kerala,Mobile,Medium,1
Manav Rachna International Institute of Research and ,Hotel-management,3,Copilot,3.8,Doubt Solving,2,Yes,Gemini,7,No,Delhi ncr,Tablet,Medium,0
